https://api.eia.gov/v2/electricity/retail-sales/data/,,,"{""frequency"":""annual"",""data"":[""price""],""facets"":{""stateid"": [""AL"", ""AR"", ""AZ"", ""CA"", ""CO"", ""CT"", ""DC"", ""DE"", ""ENC"", ""ESC"", ""MD"", ""MA"", ""MAT"", ""LA"", ""KY"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""GA"", ""ESC"", ""AK"", ""AL"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""HI"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""MAT"", ""LA"", ""KS"", ""IN"", ""IL"", ""ID"", ""IA"", ""HI"", ""AZ"", ""CA"", ""CO"", ""DC"", ""DE"", ""ESC"", ""GA"", ""IA"", ""ID"", ""IL"", ""IN"", ""KS"", ""LA"", ""MAT"", ""MA"", ""MD"", ""ME"", ""MI"", ""MN"", ""MO"", ""MS"", ""MTN"", ""MT"", ""NC"", ""ND"", ""NEW"", ""NE"", ""NH"", ""NJ"", ""NM"", ""NV"", ""NY"", ""OH"", ""OK"", ""OR"", ""PACC"", ""PACN"", ""PA"", ""RI"", ""SAT"", ""SC"", ""SD"", ""TN"", ""TX"", ""US"", ""UT"", ""VA"", ""VT"", ""WA"", ""WI"", ""WNC"", ""WSC"", ""WV"", ""WY""]},""start"":""2001"",""end"":""2019"",""sort"":[{""column"":""period"",""direction"":""desc""}],""offset"":0,""length"":5000}",,,
Category,Category,Frequency,Data,Facet,,
Electricity,Electricity Sales to Ultimate Customers,annual,price,State / Census Region,,
electricity,retail-sales,annual,price,stateid,,
2018,OR,Oregon,TRA,transportation,9.16,cents per kilowatthour
2018,OR,Oregon,RES,residential,10.98,cents per kilowatthour
2018,OR,Oregon,OTH,other,,cents per kilowatthour
2018,OR,Oregon,IND,industrial,5.86,cents per kilowatthour
2018,OR,Oregon,COM,commercial,8.91,cents per kilowatthour
2018,OR,Oregon,ALL,all sectors,8.85,cents per kilowatthour
2018,OK,Oklahoma,TRA,transportation,0,cents per kilowatthour
2018,OK,Oklahoma,RES,residential,10.3,cents per kilowatthour
2018,OK,Oklahoma,OTH,other,,cents per kilowatthour
2018,OK,Oklahoma,IND,industrial,5.34,cents per kilowatthour
2018,OK,Oklahoma,COM,commercial,8.07,cents per kilowatthour
2018,OK,Oklahoma,ALL,all sectors,8.09,cents per kilowatthour
2018,OH,Ohio,TRA,transportation,7.33,cents per kilowatthour
2018,IL,Illinois,OTH,other,,cents per kilowatthour
2018,OH,Ohio,RES,residential,12.56,cents per kilowatthour
2018,OH,Ohio,OTH,other,,cents per kilowatthour
2018,OH,Ohio,IND,industrial,7.01,cents per kilowatthour
2018,OH,Ohio,COM,commercial,10.11,cents per kilowatthour
2018,OH,Ohio,ALL,all sectors,9.94,cents per kilowatthour
2018,ND,North Dakota,TRA,transportation,0,cents per kilowatthour
2018,ND,North Dakota,RES,residential,10.25,cents per kilowatthour
2018,ND,North Dakota,OTH,other,,cents per kilowatthour
2018,ND,North Dakota,IND,industrial,7.98,cents per kilowatthour
2018,ND,North Dakota,COM,commercial,9.1,cents per kilowatthour
2018,ND,North Dakota,ALL,all sectors,8.91,cents per kilowatthour
2018,NC,North Carolina,TRA,transportation,8.02,cents per kilowatthour
2018,NC,North Carolina,RES,residential,11.09,cents per kilowatthour
2018,NC,North Carolina,OTH,other,,cents per kilowatthour
2018,NC,North Carolina,IND,industrial,6.33,cents per kilowatthour
2018,NC,North Carolina,COM,commercial,8.58,cents per kilowatthour
2018,NC,North Carolina,ALL,all sectors,9.25,cents per kilowatthour
2018,NY,New York,TRA,transportation,12.14,cents per kilowatthour
2018,NY,New York,RES,residential,18.52,cents per kilowatthour
2018,NY,New York,OTH,other,,cents per kilowatthour
2018,NY,New York,IND,industrial,6.02,cents per kilowatthour
2018,NY,New York,COM,commercial,14.5,cents per kilowatthour
2018,NY,New York,ALL,all sectors,14.83,cents per kilowatthour
2018,NM,New Mexico,TRA,transportation,0,cents per kilowatthour
2018,NM,New Mexico,RES,residential,12.68,cents per kilowatthour
2018,NM,New Mexico,OTH,other,,cents per kilowatthour
2018,NM,New Mexico,IND,industrial,5.84,cents per kilowatthour
2018,NM,New Mexico,COM,commercial,10.02,cents per kilowatthour
2018,NM,New Mexico,ALL,all sectors,9.35,cents per kilowatthour
2018,NJ,New Jersey,TRA,transportation,9.07,cents per kilowatthour
2018,NJ,New Jersey,RES,residential,15.41,cents per kilowatthour
2018,NJ,New Jersey,OTH,other,,cents per kilowatthour
2018,NJ,New Jersey,IND,industrial,10.07,cents per kilowatthour
2018,NJ,New Jersey,COM,commercial,12.21,cents per kilowatthour
2018,NJ,New Jersey,ALL,all sectors,13.23,cents per kilowatthour
2018,NH,New Hampshire,TRA,transportation,0,cents per kilowatthour
2018,NH,New Hampshire,RES,residential,19.69,cents per kilowatthour
2018,NH,New Hampshire,OTH,other,,cents per kilowatthour
2018,NH,New Hampshire,IND,industrial,13.42,cents per kilowatthour
2018,NH,New Hampshire,COM,commercial,15.81,cents per kilowatthour
2018,NH,New Hampshire,ALL,all sectors,17.01,cents per kilowatthour
2018,NV,Nevada,TRA,transportation,8.31,cents per kilowatthour
2018,NV,Nevada,RES,residential,11.85,cents per kilowatthour
2018,NV,Nevada,OTH,other,,cents per kilowatthour
2018,NV,Nevada,IND,industrial,6.1,cents per kilowatthour
2018,NV,Nevada,COM,commercial,7.74,cents per kilowatthour
2018,NV,Nevada,ALL,all sectors,8.67,cents per kilowatthour
2018,NE,Nebraska,TRA,transportation,0,cents per kilowatthour
2018,NE,Nebraska,RES,residential,10.7,cents per kilowatthour
2018,NE,Nebraska,OTH,other,,cents per kilowatthour
2018,US,U.S. Total,TRA,transportation,9.7,cents per kilowatthour
2018,US,U.S. Total,RES,residential,12.87,cents per kilowatthour
2018,US,U.S. Total,OTH,other,,cents per kilowatthour
2018,US,U.S. Total,IND,industrial,6.92,cents per kilowatthour
2018,US,U.S. Total,COM,commercial,10.67,cents per kilowatthour
2018,US,U.S. Total,ALL,all sectors,10.53,cents per kilowatthour
2018,PACN,Pacific Noncontiguous,TRA,transportation,0,cents per kilowatthour
2018,PACN,Pacific Noncontiguous,RES,residential,28.03,cents per kilowatthour
2018,PACN,Pacific Noncontiguous,OTH,other,,cents per kilowatthour
2018,PACN,Pacific Noncontiguous,IND,industrial,23.64,cents per kilowatthour
2018,PACN,Pacific Noncontiguous,COM,commercial,24.62,cents per kilowatthour
2018,PACN,Pacific Noncontiguous,ALL,all sectors,25.35,cents per kilowatthour
2018,PACC,Pacific Contiguous,TRA,transportation,8.67,cents per kilowatthour
2018,NE,Nebraska,IND,industrial,7.6,cents per kilowatthour
2018,NE,Nebraska,COM,commercial,8.83,cents per kilowatthour
2018,NE,Nebraska,ALL,all sectors,9.02,cents per kilowatthour
2018,MT,Montana,TRA,transportation,0,cents per kilowatthour
2018,MT,Montana,RES,residential,10.96,cents per kilowatthour
2018,MT,Montana,OTH,other,,cents per kilowatthour
2018,MT,Montana,IND,industrial,5.19,cents per kilowatthour
2018,MT,Montana,COM,commercial,10.11,cents per kilowatthour
2018,MT,Montana,ALL,all sectors,8.84,cents per kilowatthour
2018,MO,Missouri,TRA,transportation,8.52,cents per kilowatthour
2018,MO,Missouri,RES,residential,11.34,cents per kilowatthour
2018,MO,Missouri,OTH,other,,cents per kilowatthour
2018,MO,Missouri,IND,industrial,7.22,cents per kilowatthour
2018,CO,Colorado,RES,residential,12.15,cents per kilowatthour
2018,CO,Colorado,OTH,other,,cents per kilowatthour
2018,CO,Colorado,IND,industrial,7.47,cents per kilowatthour
2018,CO,Colorado,COM,commercial,10.02,cents per kilowatthour
2018,CO,Colorado,ALL,all sectors,10.02,cents per kilowatthour
2018,CA,California,TRA,transportation,8.64,cents per kilowatthour
2018,CA,California,RES,residential,18.84,cents per kilowatthour
2018,CA,California,OTH,other,,cents per kilowatthour
2018,CA,California,IND,industrial,13.2,cents per kilowatthour
2018,CA,California,COM,commercial,16.34,cents per kilowatthour
2018,CA,California,ALL,all sectors,16.58,cents per kilowatthour
2018,AR,Arkansas,TRA,transportation,11.35,cents per kilowatthour
2018,AR,Arkansas,RES,residential,9.81,cents per kilowatthour
2018,PACC,Pacific Contiguous,RES,residential,15.56,cents per kilowatthour
2018,PACC,Pacific Contiguous,OTH,other,,cents per kilowatthour
2018,PACC,Pacific Contiguous,IND,industrial,9.64,cents per kilowatthour
2018,PACC,Pacific Contiguous,COM,commercial,14.2,cents per kilowatthour
2018,PACC,Pacific Contiguous,ALL,all sectors,13.66,cents per kilowatthour
2018,MTN,Mountain,TRA,transportation,9.53,cents per kilowatthour
2018,MTN,Mountain,RES,residential,11.94,cents per kilowatthour
2018,MTN,Mountain,OTH,other,,cents per kilowatthour
2018,MTN,Mountain,IND,industrial,6.45,cents per kilowatthour
2018,MTN,Mountain,COM,commercial,9.56,cents per kilowatthour
2018,MTN,Mountain,ALL,all sectors,9.48,cents per kilowatthour
2018,WSC,West South Central,TRA,transportation,8.16,cents per kilowatthour
2018,WSC,West South Central,RES,residential,10.77,cents per kilowatthour
2018,WSC,West South Central,OTH,other,,cents per kilowatthour
2018,WSC,West South Central,IND,industrial,5.4,cents per kilowatthour
2018,WSC,West South Central,COM,commercial,8.21,cents per kilowatthour
2018,WSC,West South Central,ALL,all sectors,8.27,cents per kilowatthour
2018,ESC,East South Central,TRA,transportation,0,cents per kilowatthour
2018,ESC,East South Central,RES,residential,11.14,cents per kilowatthour
2018,ESC,East South Central,OTH,other,,cents per kilowatthour
2018,ESC,East South Central,IND,industrial,5.85,cents per kilowatthour
2018,ESC,East South Central,COM,commercial,10.52,cents per kilowatthour
2018,ESC,East South Central,ALL,all sectors,9.29,cents per kilowatthour
2018,SAT,South Atlantic,TRA,transportation,7.91,cents per kilowatthour
2018,SAT,South Atlantic,RES,residential,11.7,cents per kilowatthour
2018,SAT,South Atlantic,OTH,other,,cents per kilowatthour
2018,SAT,South Atlantic,IND,industrial,6.52,cents per kilowatthour
2018,SAT,South Atlantic,COM,commercial,9.3,cents per kilowatthour
2018,SAT,South Atlantic,ALL,all sectors,9.9,cents per kilowatthour
2018,WNC,West North Central,TRA,transportation,9.07,cents per kilowatthour
2018,WNC,West North Central,RES,residential,12,cents per kilowatthour
2018,WNC,West North Central,OTH,other,,cents per kilowatthour
2018,WNC,West North Central,IND,industrial,7.28,cents per kilowatthour
2018,WNC,West North Central,COM,commercial,9.79,cents per kilowatthour
2018,WNC,West North Central,ALL,all sectors,9.81,cents per kilowatthour
2018,ENC,East North Central,TRA,transportation,6.96,cents per kilowatthour
2018,ENC,East North Central,RES,residential,13.25,cents per kilowatthour
2018,ENC,East North Central,OTH,other,,cents per kilowatthour
2018,ENC,East North Central,IND,industrial,7.1,cents per kilowatthour
2018,ENC,East North Central,COM,commercial,10.19,cents per kilowatthour
2018,ENC,East North Central,ALL,all sectors,10.17,cents per kilowatthour
2018,MAT,Middle Atlantic,TRA,transportation,11.13,cents per kilowatthour
2018,MAT,Middle Atlantic,RES,residential,15.97,cents per kilowatthour
2018,MAT,Middle Atlantic,OTH,other,,cents per kilowatthour
2018,MAT,Middle Atlantic,IND,industrial,6.96,cents per kilowatthour
2018,MAT,Middle Atlantic,COM,commercial,12.43,cents per kilowatthour
2018,MAT,Middle Atlantic,ALL,all sectors,12.63,cents per kilowatthour
2018,NEW,New England,TRA,transportation,9,cents per kilowatthour
2018,NEW,New England,RES,residential,20.6,cents per kilowatthour
2018,NEW,New England,OTH,other,,cents per kilowatthour
2018,NEW,New England,IND,industrial,13.19,cents per kilowatthour
2018,NEW,New England,COM,commercial,16.46,cents per kilowatthour
2018,CT,Connecticut,TRA,transportation,12.84,cents per kilowatthour
2018,CT,Connecticut,RES,residential,21.2,cents per kilowatthour
2018,CT,Connecticut,OTH,other,,cents per kilowatthour
2018,CT,Connecticut,IND,industrial,13.77,cents per kilowatthour
2018,CT,Connecticut,COM,commercial,16.76,cents per kilowatthour
2018,CT,Connecticut,ALL,all sectors,18.41,cents per kilowatthour
2018,CO,Colorado,TRA,transportation,9,cents per kilowatthour
2018,AL,Alabama,TRA,transportation,0,cents per kilowatthour
2018,AL,Alabama,RES,residential,12.18,cents per kilowatthour
2018,AL,Alabama,OTH,other,,cents per kilowatthour
2018,AL,Alabama,IND,industrial,6.01,cents per kilowatthour
2018,AL,Alabama,COM,commercial,11.24,cents per kilowatthour
2018,AL,Alabama,ALL,all sectors,9.63,cents per kilowatthour
2018,MO,Missouri,COM,commercial,9.4,cents per kilowatthour
2018,MO,Missouri,ALL,all sectors,9.93,cents per kilowatthour
2018,MS,Mississippi,TRA,transportation,0,cents per kilowatthour
2018,MS,Mississippi,RES,residential,11.12,cents per kilowatthour
2018,MS,Mississippi,OTH,other,,cents per kilowatthour
2018,MS,Mississippi,IND,industrial,6,cents per kilowatthour
2018,MS,Mississippi,COM,commercial,10.43,cents per kilowatthour
2018,MS,Mississippi,ALL,all sectors,9.24,cents per kilowatthour
2018,MN,Minnesota,TRA,transportation,9.58,cents per kilowatthour
2018,MN,Minnesota,RES,residential,13.14,cents per kilowatthour
2018,MN,Minnesota,OTH,other,,cents per kilowatthour
2018,MN,Minnesota,IND,industrial,7.52,cents per kilowatthour
2018,GA,Georgia,COM,commercial,9.79,cents per kilowatthour
2018,GA,Georgia,ALL,all sectors,9.62,cents per kilowatthour
2018,DC,District of Columbia,TRA,transportation,9.54,cents per kilowatthour
2018,DC,District of Columbia,RES,residential,12.84,cents per kilowatthour
2018,DC,District of Columbia,OTH,other,,cents per kilowatthour
2018,DC,District of Columbia,IND,industrial,8.3,cents per kilowatthour
2018,DC,District of Columbia,COM,commercial,11.97,cents per kilowatthour
2018,DC,District of Columbia,ALL,all sectors,12.03,cents per kilowatthour
2018,DE,Delaware,TRA,transportation,0,cents per kilowatthour
2018,DE,Delaware,RES,residential,12.53,cents per kilowatthour
2018,DE,Delaware,OTH,other,,cents per kilowatthour
2018,DE,Delaware,IND,industrial,7.95,cents per kilowatthour
2018,DE,Delaware,COM,commercial,9.65,cents per kilowatthour
2018,DE,Delaware,ALL,all sectors,10.55,cents per kilowatthour
2018,LA,Louisiana,RES,residential,9.59,cents per kilowatthour
2018,LA,Louisiana,OTH,other,,cents per kilowatthour
2018,LA,Louisiana,IND,industrial,5.35,cents per kilowatthour
2018,LA,Louisiana,COM,commercial,8.85,cents per kilowatthour
2018,LA,Louisiana,ALL,all sectors,7.71,cents per kilowatthour
2018,KY,Kentucky,TRA,transportation,0,cents per kilowatthour
2018,KY,Kentucky,RES,residential,10.6,cents per kilowatthour
2018,KY,Kentucky,OTH,other,,cents per kilowatthour
2018,KY,Kentucky,IND,industrial,5.68,cents per kilowatthour
2018,KY,Kentucky,COM,commercial,9.74,cents per kilowatthour
2018,KY,Kentucky,ALL,all sectors,8.52,cents per kilowatthour
2018,KS,Kansas,TRA,transportation,0,cents per kilowatthour
2018,MN,Minnesota,COM,commercial,10.38,cents per kilowatthour
2018,MN,Minnesota,ALL,all sectors,10.37,cents per kilowatthour
2018,MI,Michigan,TRA,transportation,10.76,cents per kilowatthour
2018,MI,Michigan,RES,residential,15.45,cents per kilowatthour
2018,MI,Michigan,OTH,other,,cents per kilowatthour
2018,MI,Michigan,IND,industrial,7.1,cents per kilowatthour
2018,MI,Michigan,COM,commercial,11.15,cents per kilowatthour
2018,MI,Michigan,ALL,all sectors,11.4,cents per kilowatthour
2018,MA,Massachusetts,TRA,transportation,6.38,cents per kilowatthour
2018,MA,Massachusetts,RES,residential,21.61,cents per kilowatthour
2018,MA,Massachusetts,OTH,other,,cents per kilowatthour
2018,MA,Massachusetts,IND,industrial,14.89,cents per kilowatthour
2018,MA,Massachusetts,COM,commercial,17.17,cents per kilowatthour
2018,MA,Massachusetts,ALL,all sectors,18.5,cents per kilowatthour
2018,MD,Maryland,TRA,transportation,7.44,cents per kilowatthour
2018,MD,Maryland,RES,residential,13.3,cents per kilowatthour
2018,MD,Maryland,OTH,other,,cents per kilowatthour
2018,MD,Maryland,IND,industrial,8.23,cents per kilowatthour
2018,MD,Maryland,COM,commercial,10.43,cents per kilowatthour
2018,MD,Maryland,ALL,all sectors,11.57,cents per kilowatthour
2018,ME,Maine,TRA,transportation,0,cents per kilowatthour
2018,ME,Maine,RES,residential,16.84,cents per kilowatthour
2018,ME,Maine,OTH,other,,cents per kilowatthour
2018,ME,Maine,IND,industrial,9.32,cents per kilowatthour
2018,ME,Maine,COM,commercial,12.51,cents per kilowatthour
2018,ME,Maine,ALL,all sectors,13.44,cents per kilowatthour
2018,LA,Louisiana,TRA,transportation,9.21,cents per kilowatthour
2018,AR,Arkansas,OTH,other,,cents per kilowatthour
2018,AR,Arkansas,IND,industrial,5.64,cents per kilowatthour
2018,AR,Arkansas,COM,commercial,7.75,cents per kilowatthour
2018,AR,Arkansas,ALL,all sectors,7.78,cents per kilowatthour
2018,AZ,Arizona,TRA,transportation,10.02,cents per kilowatthour
2018,AZ,Arizona,RES,residential,12.77,cents per kilowatthour
2018,AZ,Arizona,OTH,other,,cents per kilowatthour
2018,AZ,Arizona,IND,industrial,6.55,cents per kilowatthour
2018,AZ,Arizona,COM,commercial,10.64,cents per kilowatthour
2018,AZ,Arizona,ALL,all sectors,10.85,cents per kilowatthour
2018,AK,Alaska,TRA,transportation,0,cents per kilowatthour
2018,AK,Alaska,RES,residential,21.94,cents per kilowatthour
2018,AK,Alaska,OTH,other,,cents per kilowatthour
2018,AK,Alaska,IND,industrial,17.1,cents per kilowatthour
2018,NEW,New England,ALL,all sectors,17.63,cents per kilowatthour
2018,WY,Wyoming,TRA,transportation,0,cents per kilowatthour
2018,WY,Wyoming,RES,residential,11.29,cents per kilowatthour
2018,WY,Wyoming,OTH,other,,cents per kilowatthour
2018,WY,Wyoming,IND,industrial,6.71,cents per kilowatthour
2018,WY,Wyoming,COM,commercial,9.58,cents per kilowatthour
2018,WY,Wyoming,ALL,all sectors,8.09,cents per kilowatthour
2018,WI,Wisconsin,TRA,transportation,13.85,cents per kilowatthour
2018,WI,Wisconsin,RES,residential,14.02,cents per kilowatthour
2018,WI,Wisconsin,OTH,other,,cents per kilowatthour
2018,WI,Wisconsin,IND,industrial,7.33,cents per kilowatthour
2018,WI,Wisconsin,COM,commercial,10.67,cents per kilowatthour
2018,WI,Wisconsin,ALL,all sectors,10.58,cents per kilowatthour
2018,WV,West Virginia,TRA,transportation,0,cents per kilowatthour
2018,WV,West Virginia,RES,residential,11.18,cents per kilowatthour
2018,WV,West Virginia,OTH,other,,cents per kilowatthour
2018,WV,West Virginia,IND,industrial,6.4,cents per kilowatthour
2018,WV,West Virginia,COM,commercial,9.24,cents per kilowatthour
2018,WV,West Virginia,ALL,all sectors,8.72,cents per kilowatthour
2018,WA,Washington,TRA,transportation,9.38,cents per kilowatthour
2018,WA,Washington,RES,residential,9.75,cents per kilowatthour
2018,WA,Washington,OTH,other,,cents per kilowatthour
2018,WA,Washington,IND,industrial,4.71,cents per kilowatthour
2018,WA,Washington,COM,commercial,8.72,cents per kilowatthour
2018,WA,Washington,ALL,all sectors,8,cents per kilowatthour
2018,VA,Virginia,TRA,transportation,8.28,cents per kilowatthour
2018,VA,Virginia,RES,residential,11.73,cents per kilowatthour
2018,VA,Virginia,OTH,other,,cents per kilowatthour
2018,VA,Virginia,IND,industrial,6.86,cents per kilowatthour
2018,VA,Virginia,COM,commercial,8.32,cents per kilowatthour
2018,VA,Virginia,ALL,all sectors,9.48,cents per kilowatthour
2018,IL,Illinois,IND,industrial,6.8,cents per kilowatthour
2018,IL,Illinois,COM,commercial,9.12,cents per kilowatthour
2018,IL,Illinois,ALL,all sectors,9.6,cents per kilowatthour
2018,ID,Idaho,TRA,transportation,0,cents per kilowatthour
2018,ID,Idaho,RES,residential,10.15,cents per kilowatthour
2018,ID,Idaho,OTH,other,,cents per kilowatthour
2018,ID,Idaho,IND,industrial,6.47,cents per kilowatthour
2018,ID,Idaho,COM,commercial,7.93,cents per kilowatthour
2018,ID,Idaho,ALL,all sectors,8.17,cents per kilowatthour
2018,HI,Hawaii,TRA,transportation,0,cents per kilowatthour
2018,HI,Hawaii,RES,residential,32.47,cents per kilowatthour
2018,HI,Hawaii,OTH,other,,cents per kilowatthour
2018,HI,Hawaii,IND,industrial,26.1,cents per kilowatthour
2018,HI,Hawaii,COM,commercial,29.9,cents per kilowatthour
2018,HI,Hawaii,ALL,all sectors,29.18,cents per kilowatthour
2018,GA,Georgia,TRA,transportation,5.52,cents per kilowatthour
